1975	Hostage-taking	Stockholm, Sweden
1975	Shooting, Clash	Tucuman, Argentina
1975	Hostage-taking	Kfar Yuval, Israel
1975	Bombing	Jerusalem, Israel
1975	Shooting	Spain
1975	Shooting	Boyacá, Colombia
1975	Shooting, bombing	County Down, United Kingdom
1975	Hostage-taking	Kuala Lumpur, Malaysia
1975	Shooting, bombing	Belfast, United Kingdom
1975	Shooting, Assassination	Cordoba, Argentina
1975	Bombing	Caterham, United Kingdom
1975	Bombing	San Miguel de Tucumán, Argentina
1975	Assassination attempt	Sacramento, United States
1975	Assassination	Colombia
1975	Assassination attempt	San Francisco, United States
1975	Shooting, Attack	Formosa, Argentina
1975	Attempted assassination	Rome, Italy
1975	Shooting, Clash	Acheral, Tucuman, Argentina
1975	Bombing	London, United Kingdom
1975	Ambush	County Armagh, United Kingdom
1975	Shooting, Assassination	Paraná, Argentina
1975	Hostage-taking	Wijster, The Netherlands
1975	Hostage-taking	Amsterdam, The Netherlands
1975	Hostage-taking, siege	London, United Kingdom
1975	Hostage-taking, siege	 Austria
1975	Shooting	Athens, Greece
1975	Shooting, Air Raid	Buenos Aires
1975	Bombing	New York City, United States
1976	Bombing	/ Al Qaysumah, Saudi Arabia
1976	Mass shooting	County Armagh. Northern Ireland
1976	Mass shooting	Kingsmill, Northern Ireland
1976	Hijacking	 Djibouti
1976	Bombing	Sapporo, Japan
1976	Car bombing	, Dungannon, Northern Ireland
1976	Assassination	Colombia
1976	Shooting	Montejurra, Spain
1976	Bombing	, Belfast, Northern Ireland
1976	Shooting	Belfast, Northern Ireland
1976	Kidnapping	Beirut, Lebanon
1976	Bombing	Buenos Aires, Argentina
1976	Shooting	Antrim, Northern Ireland
1976	Bombing	Buenos Aires, Argentina
1976	Hostage-taking	Kampala, Uganda
1976	Bombing	 Ireland
1976	Car bombing	Keady, Northern Ireland
1976	Hijacking, bombing	 United States
1976	Bombing	Rosario, Argentina
1976	Assassination, Car Bombing	Washington, D.C., United States
1976	Mass shooting	San Sebastián, Spain
1976	Bombing	Bridgetown, Barbados
1976	Hostage-taking	Amman, Jordan
1976	Hostage-taking	The Hague, Netherlands
1977	Shooting	Buenos Aires, Argentina
1977	Bombings	Moscow, USSR
1977	Massacre	Madrid, Spain
1977	Attempted bombing	Aeroparque Jorge Newbery, Argentina
1977	Hostage-taking	Washington, United States
1977	Bombing	 Spain Canary Islands, Spain
1977	Shooting	 West Germany, :
1977	Kidnapping	Verrières-le-Buisson, France
1977	Hostage-taking	Bovensmilde, The Netherlands
1977	Hostage-taking	Glimmen, The Netherlands
1977	Shooting	Ardboe, United Kingdom
1977	Bombing	 United States
1977	Murder, attempted kidnapping	Oberursel, West Germany
1977	Bombing	New York City, United States
1977	Hijacking	/ Dhaka, Bangladesh
1977	Assassination	Guernica, Spain
1977	Hijacking	/ Mogadishu, Somalia
1977	Kidnapping, murder	/ France
1977	Hijacking	Tanjung Kupang, Malaysia
1977	Bombing	Paris, France
1977	Bombing	San Ġwann, Malta
1978	Shooting	Rome, Italy
1978	Poisoning	 Netherlands
1978	Ambush	Carare-Opon region, Colombia
1978	Bombing	Sydney, Australia
1978	Bombing	County Down, Northern Ireland
1978	Shooting	Nicosia, Cyprus
1978	Bombing	Tenerife, Spain
1978	Massacre	Tel Aviv, Israel
1978	Hostage-taking	Assen, Netherlands
1978	Kidnapping, murder	 Italy
1978	Attempted Car Bombing	Guipuzcoa, Spain
1978	Shooting	Paris, France
1978	Assassination	Guipúzcoa, Spain
1978	Bombing	Evanston, Illinois, United States
1978	Bombing	Beirut, Lebanon
1978	Shooting	Cimitarra, Colombia
1978	Shooting	Boyacá, Colombia
1978	Shooting	Managua, Nicaragua
1978	Arson	Abadan, Iran
1978	Bombings	Speedway, United States
1978	Shooting	Karoi, Rhodesia
1978	Shooting	Getxo, Spain
1978	Stole	Bogota, Colombia
1979	Assassination, bombing	London, England
1979	Massacre	Nahariya, Israel
1979	Bombing	Oslo, Norway
1979	Shooting	Colombia
1979	Shoting	Santander Department, Colombia
1979	Hijacking	Chicago, United States
1979	Bombings	Madrid, Spain
1979	Bombing, assassination	Mullaghmore, Ireland
1979	Bombings, shooting	Warrenpoint, Northern Ireland
1979	Attempted bombing	 United States
1979	Hostage-taking	Mecca, Saudi Arabia
1979	Shooting, Raid	Tolima, Colombia
1980	Bombing	Dunmurry, Northern Ireland
1980	Bombing	Alonsotegi, Spain
1980	Shooting, grenade	Ispaster, Spain
1980	Siege	Bogotá, Colombia
1980	Bombing	Santiago, Chile
1980	Shooting, hostage-taking	Misgav Am, Israel
1980	Bombing	Valparaiso, Chile
1980	Bombing	Santiago, Chile
1980	Shooting	Santiago, Chile
1980	Shooting	Santander Department, Colombia
1980	Bombing	Valparaiso, Chile
1980	Bombing	Bologna, Italy
1980	Shooting	Lyon, France
1980	Bombing	Santiago, Chile
1980	Shooting	Markina-Xemein, Spain
1980	Bombing	Munich, Germany
1980	Bombing	Paris, France
1980	Shooting	Zarautz, Spain
1980	Bombing	Nairobi, Kenya
1981	Bombing	San Juan, Puerto Rico
1981	Hijacking	Indonesia
1981	Kidnapping	Naples, Italy
1981	Assassination	Vienna, Austria
1981	Bombing	New York City, United States
1981	Attempted Bombing, Shooting	San José, Costa Rica
1981	Bombing	Tehran, Iran
1981	Shooting	Caqueta, Colombia
1981	Shooting	Caqueta, Colombia
1981	Shooting	Meta, Colombia, Colombia
1981	Shooting, grenade	Vienna, Austria
1981	Shooting, hostage-taking	Paris, France
1981	Assassination	Cairo, Egypt
1981	Attack, Shooting	Colombia
1981	Hijacking	Medellin, Colombia
1981	Bombing	Antwerp, Belgium
1981	Robbery, murder	Nanuet, United States
1981	Car bombing	Damascus, Syria
1981	Suicide car bombing	Beirut, Lebanon
1981	Kidnapping	/ Verona, Italy
1982	9 (+15)	An armed command of the Sendero Luminoso group, they stormed the Ayacucho city jail, in order to free people imprisoned for crimes related to subversion, releasing 70 senderistas and 304 common criminals. Later, combined forces of the National Police, executed three Senderistas detainees who were wounded in the hospital of Huamanga.[1]
1982	Shooting	Santander Department, Colombia
1982	Attempted assassination	London, United Kingdom
1982	Shooting	San Vicente del Caguán, Colombia
1982	Bombing	Oslo, Norway
1982	Bombings	London, England
1982	Shooting, bombing, hostage-taking	Ankara, Turkey
1982	Shooting, bombing	Paris, France
1982	Bombing	Pacific Ocean, near Hawaii
1982	Shooting, ambush	Errenteria, Spain
1982	Massacre	Beirut, Lebanon
1982	Shooting	Brussels, Belgium
1982	Shooting, grenade	Rome, Italy
1982	Shooting	Cundinamarca Department, Colombia
1982	Suicide bombing	Tyre, Lebanon
1982	Suicide bombing	Whanganui, New Zealand
1982	Assassination	Colombia
1982	Shooting, Mass Murder	Petén District, Guatemala
1982	Bombings	Sydney, Australia
1983	Shooting	Cauca, Colombia
1983	Shooting	Talcahuano, Chile
1983	Ambush	Caqueta, Colombia
1983	Mass Murder	Assam, India
1983	Shooting	Santiago, Chile
1983	Bombing	Santiago, Chile
1983	Massacre	Lucanamarca, Peru
1983	Suicide bombing	/ Beirut, Lebanon
1983	Ambush	Santander Department, Colombia
1983	Attack	Caqueta, Colombia
1983	Attack	Antioquia Department, Colombia
1983	Car bombing	Pretoria, South Africa
1983	Shooting	Eppstein, West Germany
1983	Bombing	Paris, France
1983	Assassination	Brussels, Belgium
1983	Ambush	Jaffna, Sri Lanka
1983	Shooting, suicide bombing	Lisbon, Portugal
1983	Massacre	Antioquia Department, Colombia
1983	Shooting, Raid	Cimitarra, Colombia
1983	Shooting	Santiago de Chile, Chile
1983	Shooting	Santiago, Chile
1983	Bombing	Near Jebel Ali, United Arab Emirates
1983	Bombing, attempted assassination	Rangoon, Burma
1983	Suicide bombings	// Beirut, Lebanon
1983	Bombing	Washington, United States
1983	Hijacking	Tbilisi, USSR
1983	Torture murder	Sakhnin, Israel
1983	Bombing	London, United Kingdom
1983	Suicide bombings	Kuwait City, Kuwait
1983	Car bombing	London, United Kingdom
1985	Bombing	Sri Lanka
1985	Bombing	Magelang, Indonesia
1985	Bombing	Paris, France
1985	Car bombing	Beirut, Lebanon
1985	Bombing	Paris, France
1985	Shooting, bombing, hostage-taking	Ottawa, Ontario, Canada
1985	Suicide bombing	Israel
1985	Bombing	Madrid, Spain
1985	Clashes, Shooting	Buga, Colombia
1985	Massacre	Anuradhapura, Sri Lanka
1985	Hijacking	Athens, Greece
1985	Shooting	San Salvador, El Salvador
1985	Bombing	Frankfurt, West Germany
1985	Bombings	Across Nepal
1985	Bombing	/ Narita, Japan
1985	Bombing	Atlantic Ocean, Ireland
1985	Attack	Quindío Department, Colombia
1985	Bombings	Copenhagen, Denmark
1985	Kidnapping	Mediterranean Sea and Libya
1985	Robberies, shootings	Lahad Datu, Malaysia
1985	Shooting	Bayonne, France
1985	Shooting	Tolima and Valle del Cauca Department, Colombia
